Title,Alternative Title,Description,Language,Creator,Publisher,Provider,Resource Class,Resource Type,Date Issued,Temporal Coverage,Spatial Coverage,Bounding Box,Member Of,Is Part Of,Rights,License,Access Rights,Format,ID,Information,Download,IIIF,Manifest
United States Department of Agriculture Important Farmlands Maps,,Agricultural resource maps based on soil quality and land use,eng,United States. Soil Conservation Service,,University of Minnesota,Collections,,,1972-1986,United States,,,,,,Public,,geo4libcamp55,,,,
"Important farmlands Rice County, Minnesota",,48 x 64 centimeters,eng,United States. Soil Conservation Service,,University of Minnesota,Maps,Thematic maps,1978,1978,Minnesota--Rice County|Minnesota,"-93.525638,44.196399,-93.039404,44.543945",geo4libcamp24,,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,Public,JPEG,p16022coll624:920,https://umedia.lib.umn.edu/item/p16022coll624:920,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll624:920/manifest.json
