Title,Publisher,Spatial Coverage,Member Of,ID,Identifier
Open Data Minneapolis,Minnesota--Minneapolis,Minnesota--Minneapolis|Minnesota,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,https://opendata.minneapolismn.gov/api/feed/dcat-us/1.1.json
City of Saint Paul GIS Data,Minnesota--Saint Paul,Minnesota--Saint Paul|Minnesota,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-02,https://information.stpaul.gov/api/feed/dcat-us/1.1.json
