ID,Resource Class,Date Range,Bounding Box,Format
570bc95c-48b5-44a0-82fe-4cf833a31d2c,Datasets,2018-2018,"-77.540,38.932,-76.882,39.362",Shapefile
1c5c1fa0-e836-40d5-8f51-2410ea77bd54,Datasets,2015-2015,"-77.540,38.932,-76.882,39.362",Geodatabase
484e60de-9189-49ff-b76e-57f026caf088,Datasets,2015-2015,"-77.540,38.932,-76.882,39.362",Shapefile
21b9375b-4102-4fd0-a5f2-b19cde9bcbb3,Datasets,2020-2020,"-77.588,42.576,-76.963,43.040",Shapefile
58bdd417-0d8c-459c-ba4e-7cf276ca2305,Datasets,2021-2021,"-77.750,41.999,-76.966,42.580",Shapefile
9c06996a-75e7-42ea-a46f-3c18d21fbfa8,Datasets,2017-2017,"-77.997,42.940,-77.374,43.364",Shapefile
57a9ab61-6f36-4b1b-9b83-b08ba888dcf9,Datasets,2016-2016,"-78.061,42.472,-77.489,42.988",Shapefile
6e3865e8-4f5d-403f-8159-ae874683d315,Datasets,2020-2020,"-78.309,41.998,-77.723,42.522",Shapefile
3c608761-1635-40bf-84ba-3f08416c8344,Datasets,2020-2020,"-78.465,42.863,-77.904,43.133",Shapefile
2a4c1353-28b3-401a-bc9f-8d50e7683737,Datasets,2017-2017,"-78.466,43.132,-77.995,43.375",Shapefile
4a7be045-2267-4c0d-93e3-7d7e9ebb841b,Datasets,2019-2019,"-78.488,42.519,-77.955,42.870",Shapefile
3e7b836c-9c90-45e6-a11c-3a5cc21015a7,Datasets,2019-2019,"-79.050,43.066,-78.461,43.375",Shapefile
72468e9f-87e3-4b44-9d5d-be11b450e373,Datasets,2017-2017,"-79.061,41.999,-78.308,42.530",Shapefile
340f54be-d713-47bf-b413-2cd3fb00a208,Datasets,2018-2018,"-79.092,42.441,-78.462,43.099",
1751c4d1-2553-40da-886e-c0f69808cf03,Datasets,2021-2021,"-79.762,40.747,-72.135,45.010",Shapefile
0c94022f-d5eb-42d5-ac30-f537c3d5108a,Datasets,2009-2021,"-79.762,40.747,-72.135,45.010",Shapefile
a63fcf9a-ba89-4109-9580-e442678ffd01,Datasets,2016-2016,"-79.762,41.998,-79.059,42.570",
1ca138a0-e32e-45ee-ab81-d0daf2d44b9f,,2000-2000,"-79.763,40.506,-71.870,45.006",Shapefile
533d8606-4552-4ed7-801a-929d736acb33,Datasets,1961-1990,"-79.763,40.506,-71.870,45.006",Shapefile
